,business_id,name,city,stars_y,0,1,2,3,4,5
0,--I7YYLada0tSLkORTHb5Q,Happy Moose Bar and Grill,Streetsboro,3.5,0.24730752882260695,0.012125047060535148,0.25221204615562026,0.13257950520424755,0.1506388867506113,0.20513698600637864
1,-49WY_TEa9ZEcRk_GnuLog,Cracker Barrel Old Country Store,Sheffield Village,3.5,0.0652925398140847,0.007372479689791837,0.38314441470462557,0.0076613767694945255,0.27056340360659586,0.26596578541540744
2,-8O8sVCnaIKHP-596zN9UA,Blue Canyon Kitchen & Tavern,Twinsburg,3.5,0.1630315916748242,0.015570228617205075,0.29434875947342376,0.02091771088788064,0.1704848587654767,0.3356468505811898
3,-B_4pHQkzU12AMaYkkY4cw,Old Carolina Barbecue Company,Strongsville,3.5,0.07476351496156008,0.026546741830786688,0.16141824606369692,0.07533324861754377,0.14850629565300563,0.513431952873407
4,-Biboxy2pG3MovBOF_r4SQ,Perkins Restaurant & Bakery,Middleburg Heights,2.5,0.08106597498915225,0.014826429923128605,0.3675476719624889,0.07861999148115596,0.2634524218057189,0.19448750983835544
5,-F0B5F1YLx7093otwgboxw,Wild Eagle Saloon,Cleveland,4.0,0.5485747335788301,0.009260734091563997,0.09264689252010651,0.10751227667956717,0.14390597699018387,0.09809938613974835
6,-GOsHrWPC0meDRgkCEgC8w,TWIISTED Burgers & Sushi,Medina,4.0,0.13824130157001688,0.008372546942483176,0.15659278351483444,0.19576123565957507,0.27681059399684155,0.22422153831624905
7,-K_qGSp7q61BkkjP_FSsEQ,John's Diner,Lakewood,3.5,0.06590505199096053,0.014931573298059678,0.1872069026695439,0.02813878270110005,0.4669385659846106,0.23687912335572528
8,-MC7EFxTsyKMKB3zeP_FIQ,Stownut Donut & Diner,Stow,4.0,0.05384507511255488,0.03256996510234171,0.20878305872615852,0.04407977049801258,0.39514414255515795,0.26557798800577437
9,-N_YCDH4HijYnJ-RisQfHA,Harry Buffalo,Elyria,3.5,0.2195840972013704,0.04252489497821895,0.24180771998001152,0.22969715876268645,0.1167798019916538,0.14960632708605884
10,-OD5KnGJk4Ld8IVa2jAuFA,"First Watch - Breakfast, Brunch & Lunch",Cuyahoga Falls,4.0,0.08811832584606197,0.005958921460855199,0.16152625282373728,0.011016854379362404,0.4091456233118133,0.3242340221781699
11,-PkxxFbXpu0xBUB3rc0O6Q,Gyro kebab House,Elyria,4.5,0.01650351801470142,0.03680537282022401,0.15554208040716647,0.034141070277768505,0.2899888237067678,0.4670191347733718
